번호,운동 이름,분류,장소,인원,설명,사진,링크(올바른 자세로 운동하는 법),
11,줄넘기,유산소,야외,"개인, 단체","줄넘기(영어: jump rope)는 끈을 돌려 그 위를 뛰어 넘는 운동의 한 종류이다. 줄넘기의 줄에는 여러 종류가 있다. 줄에 구슬이 꿰어있는 구슬줄넘기, 급수줄넘기, 스피드줄넘기, 스피드가 있는 초고속 와이어줄넘기, 단체줄넘기 등이 있다.",http://src.hidoc.co.kr/image/lib/2017/9/12/20170912113859057_0.jpg,https://www.youtube.com/watch?v=DnUmpP-_Chk,
12,에어로빅댄스,유산소,실내,"개인, 단체",에어로빅운동과 같은 목적을 가진 운동으로 경쾌한 음악에 맞춰 춤을 추면서 에어로빅 효과를 거둘 수 있도록 고안한 체조. 특별한 기구 없이 간편하게 할 수 있어 세계에서 널리 행해지고 있는 운동이다. ,https://mblogthumb-phinf.pstatic.net/20150221_209/youmart12_1424505842736OErgx_JPEG/%BF%A1%BE%EE%B7%CE%BA%F22.jpg?type=w2,https://www.youtube.com/watch?v=ZQLlZzSAMY4,
13,등산,유산소,야외,"개인, 단체","등산은 운동이나 탐험, 여가 활용 등의 목적으로 산에 오르는 것이다. 자연의 변화에 대응하고 자연을 이용하고 대처하면서 주어진 장애를 극복하는 것으로, 정복의 욕구를 채울 수 있는 레저 스포츠이다. ",https://file.mk.co.kr/meet/neds/2020/01/image_readtop_2020_40491_15788910574049889.jpeg,https://www.youtube.com/watch?v=nhOYGjpcVHM,
14,배드민턴,유산소,야외,단체,"배드민턴은 네트가 설치된 사각형의 코트에서 라켓과 셔틀콕을 이용하여 두 명의 선수 혹은 두 팀이 경기를 펼치는 라켓 스포츠의 일종이다. 양 선수 또는 양 팀이 서로 상대의 코트로 셔틀콕을 쳐서 넘기면서 랠리를 하게 되며, 셔틀콕이 땅에 떨어지는 순간 포인트가 끝나게 된다.",http://image.kmib.co.kr/online_image/2021/0729/2021072915225588395_1627539775_0016112186.jpg,https://www.youtube.com/watch?v=LTcOzwq4xAo,
15,테니스,유산소,야외,단체,"테니스는 두 명의 선수(단식) 또는 각각 두 명의 선수로 이루어진 두 팀(복식)이 겨루는 라켓 스포츠의 한 종류이다. 선수들이 줄이 매어진 라켓을 이용해 속이 비고 표면이 펠트로 이루어진 고무 재질의 테니스공을 쳐서 네트 너머 상대방의 코트로 계속하여 넘겨서, 어느 한 쪽이 공이 두 번 바운드 되기 전에 치지 못하거나 친 공이 네트를 넘지 못했을 때, 혹은 친 공이 상대방 코트에 들어가지 못했을 때 그 실패한 선수의 상대방이 점수를 따는 방식으로 진행된다. ",https://www.sciencetimes.co.kr/wp-content/uploads/2021/07/noname01.jpg,https://www.youtube.com/watch?v=Q2FB629Rq2Q,
16,탁구,유산소,야외,단체,"탁구(卓球)는 2명(단식) 또는 4명(복식)의 선수가 탁구 라켓을 사용해 가볍고 속이 빈 공을 탁구대 위에서 쳐넘기며 승부를 겨루는 스포츠로, 핑퐁(Ping-pong), 테이블 테니스(Table tennis)라고도 일컫는다.",https://w.namu.la/s/78665e0baf742222ef8504d4dae48b9eb53292e1d9d31c4ab9568d774d58fdc366dbc504f3776f5467236837a486f1310fda1de23c00dfb512083f8ea0111ff489b551a9ab5d7ef580b1e771f5846f3c,https://www.youtube.com/watch?v=7gxVpFSQjys,
17,스키,유산소,야외,"개인, 단체","스키(ski)는 예로부터 교통 수단으로 이용되어 오다가, 19세기 후반에 북유럽에서 스포츠의 한 종목으로 정착한 이래 세계 각국에 널리 퍼졌다. 이 경기는 스키를 발에 달고 설면 위를 달려 시간과 득점을 겨루는 경기이다. 종목으로는 알파인 스키와 노르딕 스키, 그리고 바이애슬론 경기 등이 있다.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Michal_Malak_at_Tour_de_Ski.jpg/450px-Michal_Malak_at_Tour_de_Ski.jpg,https://www.youtube.com/watch?v=i0MR5f-pQhs,
18,크로스컨트리,"유산소, 근력",야외,"개인, 단체",크로스컨트리는 자연 지형을 이용한 코스에서 행해지는 가혹한 장거리 경주이다. 코스에 기복이 많아 일정한 리듬으로 달릴 수 없기 때문에 선수에게는 강한 투지가 요구된다. 체력이 있고 힘을 최대한 발휘하는 것을 즐기는 선수가 되지 않으면 안 된다. 중거리 경주 트레이닝의 연장이라 할 수 있는 크로스컨트리는 선수의 관절이나 근육을 강화하고 밸런스 감각을 키운다. 또 호흡 순환 기능과 지구력의 향상에도 도움이 된다.,https://upload.wikimedia.org/wikipedia/commons/1/1a/Tim_running.jpg,https://www.youtube.com/watch?v=VBYBbP7_4ZY,
19,요가,"유산소, 근력","실내, 야외","개인, 단체","일반적으로 운동으로서의 요가를 의미하는 현대요가는 요가의 수행방법 중 호흡 방법을 포함하는 명상(사마디)과 자세(아사나) 등 전통적인 요가의 측면과 현대적인 체조, 스트레칭의 동작이 갖는 신체의 근육과 골격에 미치는 영향과 기능성이 함께 균형을 이루는 것이 특징이다. 한편 편안한 숨쉬기를 포함하는 명상적 요소와 근육과 관절 이완의 스트레칭적 요소들의 서로간의 균형을 유지하는 현대적인 요가운동은 과학적인 체중이동과 심리적 안정감의 자기효능감 형성에서 신체적, 정신적 측면 양면에서 매우 긍정적인 것으로 여겨진다.",https://cdn.mkhealth.co.kr/news/photo/201901/img_MKH190122001_0.jpg,https://www.youtube.com/watch?v=_aLF5C40hY8,
20,댄스스포츠,"유산소, 근력","실내, 야외","개인, 단체","댄스스포츠(Dancesport)는 볼룸 댄스를 기반으로 경기와 기술을 겨루는 스포츠이다. 왈츠, 탱고, 자이브, 삼바 등이 포함된다.",https://lh3.googleusercontent.com/proxy/SJr800DkQXKQtCq5H_9kqzzBlABSMvYlLjrnkImMvSapTFDuNyR9HVeWS19i3W5aiYbRzNPAEdvSx4FiK5dNxNbuLujkffeTkw8hKcCxKg5IbHza_Y75krjP67oHfEjUpMX-X1Fp-ECAGGAeuSzPeB6mukgXTum86N4iEeo,https://www.youtube.com/watch?v=BRFLHzz20sU,
21,플랭크,근력,실내,개인,"플랭크(plank, front hold, hover, abdominal bridge)는 가능한 최대 시간 동안 팔굽혀펴기와 비슷한 자세를 유지하는 것을 수반하는 등척성 체간근 근력 운동이다.",https://img.huffingtonpost.com/asset/5acacc721f00002d0016ca31.jpeg?cache=0lOXly1x2s&ops=1778_1000,https://www.youtube.com/watch?v=Zq8nRY9P_cM,
22,팔굽혀펴기(푸쉬업),근력,실내,개인,"팔굽혀펴기 또는 푸쉬업은 대표적인 근력 운동 중 하나이다. 일반적으로 기구 등을 사용하지 않고 할 수 있는 운동으로, 엎드린 상태에서 전신의 체중을 두 손과 두 발가락의 4개소에 집중하여 양팔을 늘리는 힘에 의해 신체를 올린다. 동작과 팔꿈치 관절을 굽혀 몸을 지상에 붙지 않을 정도까지 낮추고, 반복하는 것이 기본적인 방법이다.",https://t1.daumcdn.net/thumb/R720x0/?fname=http://t1.daumcdn.net/brunch/service/user/2xMI/image/B24dxXmb0tU69RtOmjjccgd_YNU.jpg,https://www.youtube.com/watch?v=-_DUjHxgmWk,
23,런지,근력,실내,개인,"런지는 스쿼트와 함께 하체 운동의 대명사로 불리며 건강과 미용의 양면에서 쌍벽을 이룰 정도로 효과가 좋다. 양발을 앞뒤로 벌리고 뒷발 무릎을 굽혀 앉으며 자세를 낮췄다 일으켜 세우는 것이 런지의 핵심동작이다. 균형 감각, 코어, 운동 신경을 발달시키고 인간이 흔히 쓰지 않는 작은 근육들을 다양하게 자극한다.",https://newsimg.hankookilbo.com/cms/articlerelease/2021/04/09/acc0302e-51ac-4770-8089-e8bc8748eda4.jpg,https://www.youtube.com/watch?v=BUkMLNHRpM0,
24,스트레칭,"유산소, 근력","실내, 야외",개인,스트레칭은 특정 근육 및 힘줄이나 골격의 관절을 의도적으로 구부리거나 늘려 긴장 또는 이완시키고 근육의 회복 탄력성을 향상시키는 신체 운동의 한 형태이다. 일반적으로 준비운동으로서 본 운동의 사전 운동이나 운동의 정리에서 마무리를 위해 활용된다. 또한 스포츠 및 의료 분야에서 몸의 근육과 관절을 양호한 상태로 할 목적으로 그 근육을 당기거나 늘이는 것을 말한다. 근육의 유연성을 높이고 관절의 가동 범위를 넓히는 것 외에도 다양한 효과가 있다.,https://health.chosun.com/site/data/img_dir/2021/03/16/2021031602429_0.jpg,https://www.youtube.com/watch?v=2LyDkE7sDec,
25,필라테스,"유산소, 근력",실내,개인,필라테스는 신체의 전 근육을 과학적으로 단련하기 위해 만들어졌다. 신체 중 복부의 안정과 몸 전체의 균형을 추구한다. 또한 필라테스는 요가의 아사나와 다양한 체조의 동작 및 스포츠의 운동 동작을 결합하여 매트나 기구 위에서 수련을 한다. 그 결과 전신 근육의 균형적인 발달과. 신체의 스트레칭 능력과 혈액순환의 향상을 가져오게 된다.,https://dept.daelim.ac.kr/type/common/img/affi/lie/info_pilates.png,https://www.youtube.com/watch?v=gbZwjeX3-hk,
26,걷기,유산소,야외,개인,걷기 운동은 시간과 장소에 구애받지 않고 쉽게 실천할 수 있는 운동이다. 허리·가슴·등을 활짝 펴고 몸과 바닥이 수직을 이루는 등 바른 자세로 꾸준히 걸으면 건강을 지킬 수 있다.,https://health.chosun.com/site/data/img_dir/2017/06/02/2017060201028_0.jpg,https://www.youtube.com/watch?v=C0G_OonCqaQ,
27,트라이셉스 익스텐션,근력,실내,개인,"트라이셉스 익스텐션은 기본 트라이셉스 익스텐션의 종류에 속하는것으로, 기본 트라이셉스 익스텐션은(오버헤드 방법) 본래 상체를 세우고 덤벨을 잡은 팔을 뒷쪽으로 굽히는 운동법이다. 이 운동은 삼두근 중 장두의 발달에 효과적이며 팔뚝살의 탄력을 높일때 좋다.",https://t1.daumcdn.net/cfile/blog/257F354F5714940506,https://www.youtube.com/watch?v=hbDE-gbAHCY,
28,크런치,근력,실내,개인,"크런치(영어: crunch)는 대표적인 복근운동이다. 윗몸 일으키기와 비슷해 보이지만, 상체를 바닥에서 완전히 들어 올리지 않는다는 차이점이 있다.",https://t1.daumcdn.net/cfile/tistory/2659A13453B35C820A,https://www.youtube.com/watch?v=V1iDJjf-62s,
29,계단 오르내리기,"유산소, 근력","실내, 야외",개인,"엉덩이, 허벅지의 근육을 튼튼하게 해서 근력을 강화시켜 주는 유산소 운동이다. 일상생활에서 짧게 반복할 수 있는 대표적인 운동 중 하나이며 다리·엉덩이·척추의 다양한 근육을 자극해 심장·폐·뇌로 가는 혈류 공급을 원활하게 한다.",https://mblogthumb-phinf.pstatic.net/20150824_234/koreanaclubk_1440420432666TMV33_JPEG/25B425D9-1.jpg?type=w2,https://www.youtube.com/watch?v=xOIBs2oW8RE,
30,마운틴 클라이머,"유산소, 근력",실내,개인,"마운틴 클라이머는 산을 오르는 자세와 유사하다는 점에서 유래되었으며, 전신의 근육을 사용해 단시간에 많은 칼로리를 소모하는 고강도 운동이다. 하체 근력과 민첩성을 키우며 체지방 감소효과, 뱃살 감량, 복부 코어 근육 발달에 도움이 된다.",https://img1.daumcdn.net/thumb/R1280x0.fpng/?fname=http://t1.daumcdn.net/brunch/service/user/2xMI/image/7FAB4hhr2gb_GEeSMlpzHoKS8MI.png,https://www.youtube.com/watch?v=DFtVTpRBsAY,
